produto,preco,data_coleta,preco_limpo,marca
"Placa de Vídeo RX 7600 Series Graphics Cards XFX AMD Radeon, 8GB GDDR6 - RX-76PQICKBY","R$ 1.599,99",2026-03-11 22:42:17,1599.99,AMD
"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD","R$ 1.699,99",2026-03-11 22:42:17,1699.99,AMD
"Placa de Vídeo ASRock RX 6600 Challenger White AMD Radeon, 8GB, GDDR6, DirectX 12 Ultimate, RDNA 2 - 90-GA4UZZ-00UANF","R$ 1.499,99",2026-03-11 22:42:17,1499.99,AMD
"Placa de Vídeo XFX AMD RADEON RX 7600 Gaming Graphics Card, 8GB, GDDR6 - RX-76PMBABFY","R$ 1.639,99",2026-03-11 22:42:17,1639.99,AMD
"Placa de Vídeo ASRock RX 9060 XT CL 16GO AMD Radeon, 16GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT CL 16GO","R$ 3.999,99",2026-03-11 22:42:17,3999.99,AMD
"Placa de Vídeo XFX RX 9060 XT OC AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, Triple Fan, RDNA 4 - RX-96TS316B7","R$ 3.149,99",2026-03-11 22:42:17,3149.99,AMD
"Placa de Vídeo MSI GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS NVIDIA GeForce, 8GB GDDR7, 128-bit - G506T-8S2CP","R$ 3.599,99",2026-03-11 22:42:17,3599.99,NVIDIA
"Placa de Vídeo ASRock RX 9060 XT SL 16GO AMD Radeon, 16GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6, RDNA 4 - RX9060XT SL 16GO","R$ 3.999,99",2026-03-11 22:42:17,3999.99,AMD
"Placa de Vídeo XFX Swift RX 9070 XT TRIPLE FAN GAMING EDITION WITH AMD Radeon, 16GB, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TSWF3B9","R$ 5.199,99",2026-03-11 22:42:17,5199.99,AMD
"Placa de Vídeo Gigabyte RTX 5060 WINDFORCE MAX OC 8GB NVIDIA GeForce, 8GB GDDR7, 128bit, DLSS, Ray Tracing - GV-N5060WF2MAX OC-8GD","R$ 2.599,99",2026-03-11 22:42:17,2599.99,NVIDIA
"Placa de Vídeo MSI GeForce RTX 5070 12G VENTUS 2X OC,12 GB GDDR7, 28Gbps, NVIDIA GeForce RTX 5070- G5070-12V2C","R$ 4.999,99",2026-03-11 22:42:17,4999.99,NVIDIA
"Placa de Vídeo ASUS DUAL RTX 5060 TI O16G NVIDIA GeForce, 16GB GDDR7, 2602MHz, 128 bits, OpenGL4.6, DLSS 4, Ray Tracing - 90YV0MH0-M0NA00","R$ 5.348,99",2026-03-11 22:42:17,5348.99,NVIDIA
"Placa de Vídeo ASUS DUAL RTX 5060 O8G NVIDIA GeForce, 8GB GDDR7, 2565MHz, 128 bits, OpenGL 4.6, DLSS 4, Ray Tracing - DUAL-RTX5060-O8G","R$ 2.999,99",2026-03-11 22:42:17,2999.99,NVIDIA
"Placa de Vídeo Gigabyte RTX 5060 EAGLE OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060EAGLE OC-8GD","R$ 2.499,99",2026-03-11 22:42:17,2499.99,NVIDIA
"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF","R$ 1.799,99",2026-03-11 22:42:17,1799.99,AMD
"Placa de Vídeo ASUS PRIME RX 9070 XT O16G AMD Radeon, 16GB, GDDR6, Axial-tech, OpenGL 4.6 - 90YV0L71-M0NA00","R$ 5.199,99",2026-03-11 22:42:17,5199.99,AMD
"Placa de Vídeo ASRock RX 7600 Challenger PRO OC AMD Radeon, 8GB, GDDR6, Triple Fan - 90-GA62ZZ-00UANF","R$ 1.699,99",2026-03-11 22:42:17,1699.99,AMD
"Placa de Vídeo GALAX NVIDIA GeForce RTX 5060 1-Click OC TECLAB Lite, 8GB, GDDR7, 128-Bits, Ray Tracing, DLSS 4 - 56NSN8MDDXBO","R$ 2.599,99",2026-03-11 22:42:17,2599.99,NVIDIA
"Placa de Vídeo Husky Alpha GTX 1650, 4GB GDDR6, 128-Bit, 896 CUDAs, Boost 1.59 GHz - HVG1650","R$ 999,99",2026-03-11 22:42:17,999.99,NVIDIA
"Placa de Vídeo XFX RX 9060 XT OC Gaming AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, FidelityFX, RDNA 4 - RX-96TSW16BQ","R$ 2.999,99",2026-03-11 22:42:17,2999.99,AMD
